"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Prince Edward Island","2016A000211","Federal Provincial Inspected Slaughter (FPIS)","July to December","Head","148","thousands","3","v44184844","4.14.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","International imports for slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184585","4.15.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","International imports for slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184845","4.15.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Provincially inspected slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184586","4.16.1","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Provincially inspected slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184846","4.16.2","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","Commercial slaughter of sheep and lambs, not elsewhere specified","January to June","Head","148","thousands","3","v44184587","4.17.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Commercial slaughter of sheep and lambs, not elsewhere specified","July to December","Head","148","thousands","3","v44184847","4.17.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Sheep and lambs consumed on farms","January to June","Head","148","thousands","3","v44184588","4.18.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Sheep and lambs consumed on farms","July to December","Head","148","thousands","3","v44184848","4.18.2","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Farm sales of sheep and lambs to consumers","January to June","Head","148","thousands","3","v44184589","4.19.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Farm sales of sheep and lambs to consumers","July to December","Head","148","thousands","3","v44184849","4.19.2","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Ending inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184590","4.20.1","3.8","","","","1"
"2000","Prince Edward Island","2016A000211","Ending inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184850","4.20.2","2.6","","","","1"
"2000","Nova Scotia","2016A000212","Total supply of sheep and lambs","January to June","Head","148","thousands","3","v44184591","5.1.1","37.3","","","","1"
"2000","Nova Scotia","2016A000212","Total supply of sheep and lambs","July to December","Head","148","thousands","3","v44184851","5.1.2","29.4","","","","1"
"2000","Nova Scotia","2016A000212","Beginning inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184592","5.2.1","18.3","","","","1"
"2000","Nova Scotia","2016A000212","Beginning inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184852","5.2.2","26.5","","","","1"
"2000","Nova Scotia","2016A000212","Lambs born","January to June","Head","148","thousands","3","v44184593","5.3.1","19.0","","","","1"
"2000","Nova Scotia","2016A000212","Lambs born","July to December","Head","148","thousands","3","v44184853","5.3.2","2.9","","","","1"
"2000","Nova Scotia","2016A000212","Interprovincial imports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184594","5.4.1","0.0","","","t","1"
"2000","Nova Scotia","2016A000212","Interprovincial imports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184854","5.4.2","0.0","","","t","1"
"2000","Nova Scotia","2016A000212","International imports of sheep and lambs","January to June","Head","148","thousands","3","v44184595","5.5.1","0.0","","","","1"
"2000","Nova Scotia","2016A000212","International imports of sheep and lambs","July to December","Head","148","thousands","3","v44184855","5.5.2","0.0","","","","1"
"2000","Nova Scotia","2016A000212","Total disposition of sheep and lambs","January to June","Head","148","thousands","3","v44184596","5.6.1","10.8","","","","1"
