"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Quebec","2016A000224","International imports of cattle","July to December","Head","148","thousands","3","v41123457","8.5.2","25.3","","","","1"
"2000","Quebec","2016A000224","Total disposition of cattle","January to June","Head","148","thousands","3","v41123458","8.6.1","352.2","","","","1"
"2000","Quebec","2016A000224","Total disposition of cattle","July to December","Head","148","thousands","3","v41123459","8.6.2","321.5","","","","1"
"2000","Quebec","2016A000224","Slaughter of cattle","January to June","Head","148","thousands","3","v41123460","8.7.1","229.4","","","","1"
"2000","Quebec","2016A000224","Slaughter of cattle","July to December","Head","148","thousands","3","v41123461","8.7.2","205.4","","","","1"
"2000","Quebec","2016A000224","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123462","8.8.1","42.8","","","","1"
"2000","Quebec","2016A000224","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123463","8.8.2","56.2","","","","1"
"2000","Quebec","2016A000224","International exports of cattle","January to June","Head","148","thousands","3","v41123464","8.9.1","36.6","","","","1"
"2000","Quebec","2016A000224","International exports of cattle","July to December","Head","148","thousands","3","v41123465","8.9.2","33.5","","","","1"
"2000","Quebec","2016A000224","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123466","8.10.1","43.4","","","","1"
"2000","Quebec","2016A000224","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123467","8.10.2","26.4","","","","1"
"2000","Quebec","2016A000224","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123468","8.11.1","1335.0","","","","1"
"2000","Quebec","2016A000224","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123469","8.11.2","1280.0","","","","1"
"2000","Ontario","2016A000235","Total supply of cattle","January to June","Head","148","thousands","3","v41123470","9.1.1","2595.5","","","","1"
"2000","Ontario","2016A000235","Total supply of cattle","July to December","Head","148","thousands","3","v41123471","9.1.2","2560.7","","","","1"
"2000","Ontario","2016A000235","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123472","9.2.1","1995.0","","","","1"
"2000","Ontario","2016A000235","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123473","9.2.2","2097.0","","","","1"
"2000","Ontario","2016A000235","Calves born","January to June","Head","148","thousands","3","v41123474","9.3.1","425.7","","","","1"
"2000","Ontario","2016A000235","Calves born","July to December","Head","148","thousands","3","v41123475","9.3.2","306.7","","","","1"
"2000","Ontario","2016A000235","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123476","9.4.1","149.9","","","","1"
"2000","Ontario","2016A000235","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123477","9.4.2","137.0","","","","1"
"2000","Ontario","2016A000235","International imports of cattle","January to June","Head","148","thousands","3","v41123478","9.5.1","24.9","","","","1"
"2000","Ontario","2016A000235","International imports of cattle","July to December","Head","148","thousands","3","v41123479","9.5.2","20.0","","","","1"
"2000","Ontario","2016A000235","Total disposition of cattle","January to June","Head","148","thousands","3","v41123480","9.6.1","498.5","","","","1"
"2000","Ontario","2016A000235","Total disposition of cattle","July to December","Head","148","thousands","3","v41123481","9.6.2","515.7","","","","1"
"2000","Ontario","2016A000235","Slaughter of cattle","January to June","Head","148","thousands","3","v41123482","9.7.1","358.8","","","","1"
"2000","Ontario","2016A000235","Slaughter of cattle","July to December","Head","148","thousands","3","v41123483","9.7.2","371.5","","","","1"
"2000","Ontario","2016A000235","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123484","9.8.1","4.3","","","","1"
"2000","Ontario","2016A000235","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123485","9.8.2","6.6","","","","1"
"2000","Ontario","2016A000235","International exports of cattle","January to June","Head","148","thousands","3","v41123486","9.9.1","80.0","","","","1"
"2000","Ontario","2016A000235","International exports of cattle","July to December","Head","148","thousands","3","v41123487","9.9.2","91.6","","","","1"
"2000","Ontario","2016A000235","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123488","9.10.1","55.4","","","","1"
"2000","Ontario","2016A000235","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123489","9.10.2","46.0","","","","1"
"2000","Ontario","2016A000235","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123490","9.11.1","2097.0","","","","1"
"2000","Ontario","2016A000235","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123491","9.11.2","2045.0","","","","1"
"2000","Western provinces","","Total supply of cattle","January to June","Head","148","thousands","3","v41123492","10.1.1","13816.9","","","","1"
"2000","Western provinces","","Total supply of cattle","July to December","Head","148","thousands","3","v41123493","10.1.2","12553.0","","","","1"
"2000","Western provinces","","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123494","10.2.1","9650.0","","","","1"
"2000","Western provinces","","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123495","10.2.2","11234.0","","","","1"
"2000","Western provinces","","Calves born","January to June","Head","148","thousands","3","v41123496","10.3.1","3635.0","","","","1"
"2000","Western provinces","","Calves born","July to December","Head","148","thousands","3","v41123497","10.3.2","436.2","","","","1"
"2000","Western provinces","","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123498","10.4.1","463.2","","","","1"
"2000","Western provinces","","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123499","10.4.2","727.8","","","","1"
"2000","Western provinces","","International imports of cattle","January to June","Head","148","thousands","3","v41123500","10.5.1","68.7","","","","1"
"2000","Western provinces","","International imports of cattle","July to December","Head","148","thousands","3","v41123501","10.5.2","155.0","","","","1"
"2000","Western provinces","","Total disposition of cattle","January to June","Head","148","thousands","3","v41123502","10.6.1","2582.9","","","","1"
